time,actual x,actual y,actual z,actual R,actual P,actual Y
18.824,1.2829,0.0756877,1.38388,0.000647335,0.0339717,0.0385488
18.876,1.28271,0.0772759,1.3827,0.000827236,0.0373808,0.0404125
18.896,1.28218,0.0773808,1.38241,0.00100707,0.0403794,0.03992
18.992,1.28295,0.0748007,1.38368,0.000995977,0.0345461,0.0376551
19.088,1.2826,0.076679,1.3826,0.0012963,0.0389169,0.0397166
19.096,1.28272,0.0775471,1.3825,0.00158947,0.0407614,0.0410295
19.116,1.28272,0.0775471,1.3825,0.00158947,0.0407614,0.0410295
19.204,1.28393,0.0758269,1.3828,0.000807188,0.0361483,0.0394162
19.292,1.28363,0.0764668,1.38176,0.00122969,0.0421901,0.0398458
19.382,1.28402,0.0764036,1.38148,0.00122833,0.0431133,0.0397354
19.436,1.28423,0.0764715,1.3823,0.00103345,0.0407229,0.0400693
19.456,1.28423,0.0764715,1.3823,0.00103345,0.0407229,0.0400693
19.546,1.28395,0.0748997,1.38248,0.00116586,0.0386644,0.0383001
19.637,1.28402,0.075387,1.38184,0.00134553,0.0419232,0.038406
19.696,1.28458,0.0758729,1.3818,0.00126171,0.0406636,0.0389679
19.696,1.28458,0.0758729,1.3818,0.00126171,0.0406636,0.0389679
19.716,1.28458,0.0758729,1.3818,0.00126171,0.0406636,0.0389679
19.805,1.28328,0.0747027,1.3842,0.000873069,0.0341865,0.0374549
19.901,1.28441,0.0766388,1.38276,0.00138713,0.0388678,0.0400655
19.956,1.28453,0.0767874,1.38256,0.00122959,0.038341,0.0401465
19.976,1.28453,0.0767874,1.38256,0.00122959,0.038341,0.0401465
20.061,1.28326,0.0739817,1.38379,0.000993291,0.0339192,0.0373374
20.149,1.28373,0.0761575,1.38281,0.00163043,0.0402711,0.0393656
20.237,1.28375,0.0766784,1.3819,0.00165237,0.0413439,0.0400743
20.296,1.28289,0.0773592,1.3819,0.00149676,0.0406383,0.0410779
20.316,1.28289,0.0773592,1.3819,0.00149676,0.0406383,0.0410779
20.401,1.28314,0.074927,1.38342,0.00102078,0.0355641,0.0373142
20.489,1.28302,0.0763699,1.38136,0.0015282,0.0426708,0.0392831
20.576,1.283,0.0767657,1.38119,0.00200722,0.0446359,0.040425
20.636,1.28318,0.0767729,1.38146,0.00179284,0.0433629,0.0406499
20.7,1.28298,0.0759906,1.38107,0.0020442,0.0452248,0.0392039
20.788,1.2837,0.075862,1.38172,0.00189861,0.0428884,0.0395026
20.876,1.28425,0.0762827,1.38167,0.00171486,0.0421186,0.0398267
20.964,1.28471,0.0767331,1.38089,0.00205895,0.0453379,0.0402489
20.976,1.28471,0.0767331,1.38089,0.00205895,0.0453379,0.0402489
20.996,1.28531,0.0757015,1.38394,0.00128226,0.034116,0.0396531
21.088,1.284,0.0750339,1.38279,0.00167464,0.0384999,0.0393251
21.176,1.28445,0.0758631,1.38148,0.0021527,0.0437158,0.0392524
21.267,1.28419,0.0764551,1.38069,0.00239957,0.0463689,0.039606
21.276,1.28419,0.0764551,1.38069,0.00239957,0.0463689,0.039606
21.296,1.2843,0.076593,1.38431,0.000961435,0.0329263,0.0402099
21.383,1.28322,0.0756198,1.38319,0.00151997,0.0364576,0.0398266
